iter	Passed	Remaining
0	74	74054
1	74	37334
2	75	25047
3	75	18897
4	76	15203
5	76	12736
6	77	10978
7	77	9660
8	78	8645
9	79	7836
10	79	7170
11	80	6616
12	80	6143
13	81	5737
14	81	5383
15	82	5074
16	83	4799
17	83	4554
18	84	4343
19	84	4153
20	85	3977
21	85	3821
22	86	3674
23	87	3538
24	87	3412
25	88	3297
26	88	3190
27	88	3089
28	89	2995
29	90	2912
30	90	2835
31	91	2761
32	91	2691
33	92	2625
34	92	2561
35	93	2501
36	93	2443
37	94	2389
38	94	2337
39	95	2288
40	95	2241
41	96	2198
42	96	2157
43	97	2116
44	97	2078
45	98	2041
46	98	2005
47	99	1971
48	99	1938
49	100	1907
50	100	1877
51	101	1848
52	102	1824
53	102	1800
54	103	1775
55	103	1751
56	104	1728
57	104	1704
58	105	1681
59	105	1659
60	106	1637
61	106	1616
62	107	1596
63	108	1579
64	108	1562
65	109	1545
66	109	1528
67	110	1513
68	110	1497
69	111	1480
70	111	1464
71	112	1449
72	112	1434
73	113	1419
74	113	1404
75	114	1392
76	115	1379
77	115	1367
78	116	1356
79	116	1345
80	117	1333
81	118	1322
82	118	1308
83	118	1297
84	119	1290
85	120	1282
86	121	1272
87	121	1262
88	122	1253
89	123	1243
90	123	1234
91	124	1226
92	124	1216
93	125	1207
94	125	1198
95	126	1189
96	126	1181
97	127	1173
98	128	1166
99	128	1158
100	129	1150
101	129	1143
102	130	1136
103	131	1129
104	131	1122
105	132	1115
106	132	1108
107	133	1102
108	134	1095
109	134	1089
110	135	1083
111	135	1076
112	136	1070
113	136	1063
114	137	1056
115	137	1050
116	138	1042
117	138	1036
118	139	1030
119	139	1025
120	140	1020
121	140	1014
122	141	1009
123	142	1003
124	142	998
125	143	992
126	143	986
127	144	981
128	144	976
129	145	970
130	145	966
131	146	961
132	146	957
133	147	952
134	147	947
135	148	943
136	148	938
137	149	933
138	149	928
139	150	924
140	150	919
141	151	913
142	151	910
143	152	906
144	153	903
145	153	898
146	154	895
147	154	890
148	155	886
149	155	882
150	156	878
151	156	874
152	157	870
153	157	866
154	158	862
155	158	860
156	159	856
157	160	853
158	160	849
159	161	846
160	161	841
161	162	838
162	162	834
163	162	830
164	163	827
165	164	824
166	164	821
167	165	818
168	165	815
169	166	812
170	166	808
171	167	805
172	167	802
173	168	799
174	168	796
175	169	793
176	170	790
177	170	788
178	171	786
179	172	784
180	172	781
181	173	778
182	173	776
183	174	773
184	174	770
185	175	767
186	175	764
187	176	762
188	177	760
189	177	757
190	178	755
191	178	752
192	179	750
193	180	748
194	180	745
195	181	743
196	181	740
197	182	738
198	182	736
199	183	734
200	184	732
201	184	730
202	185	728
203	186	726
204	186	723
205	187	721
206	187	718
207	188	716
208	188	713
209	189	711
210	189	710
211	190	707
212	191	705
213	191	703
214	192	701
215	192	699
216	193	696
217	193	694
218	194	692
219	194	689
220	195	687
221	195	685
222	196	684
223	197	682
224	197	680
225	198	678
226	198	676
227	199	674
228	199	672
229	200	670
230	200	668
231	201	667
232	202	665
233	202	663
234	203	662
235	203	660
236	204	658
237	205	656
238	205	654
239	206	652
240	206	650
241	207	648
242	207	646
243	208	645
244	208	643
245	209	642
246	210	640
247	210	638
248	211	636
249	211	635
250	212	633
251	212	631
252	213	629
253	213	627
254	214	625
255	214	624
256	215	623
257	216	621
258	216	620
259	217	618
260	217	616
261	218	615
262	218	613
263	219	611
264	219	610
265	220	608
266	221	607
267	221	605
268	222	604
269	223	602
270	223	601
271	224	599
272	224	598
273	225	596
274	225	595
275	226	594
276	227	592
277	227	591
278	228	589
279	228	588
280	229	587
281	230	585
282	230	584
283	231	582
284	231	581
285	232	579
286	232	578
287	233	577
288	234	576
289	234	574
290	235	573
291	235	571
292	236	570
293	236	568
294	237	566
295	237	565
296	238	563
297	238	562
298	239	560
299	239	559
300	240	558
301	241	557
302	241	555
303	242	554
304	242	552
305	243	551
306	243	549
307	243	548
308	244	546
309	244	545
310	245	544
311	246	542
312	246	541
313	247	540
314	247	539
315	248	538
316	249	536
317	249	535
318	250	534
319	250	533
320	251	531
321	252	530
322	252	529
323	253	528
324	253	527
325	254	526
326	255	524
327	255	523
328	256	522
329	256	520
330	257	519
331	257	518
332	258	517
333	258	516
334	259	515
335	260	513
336	260	512
337	261	511
338	261	510
339	262	509
340	262	507
341	263	506
342	263	505
343	264	504
344	265	503
345	265	502
346	266	501
347	266	499
348	267	498
349	267	497
350	268	495
351	268	494
352	269	493
353	269	492
354	270	490
355	270	489
356	271	488
357	271	487
358	272	486
359	272	485
360	273	484
361	273	482
362	274	481
363	274	480
364	275	479
365	276	478
366	276	476
367	277	475
368	277	474
369	278	473
370	278	472
371	279	471
372	279	470
373	280	468
374	280	467
375	281	466
376	281	465
377	282	464
378	282	462
379	283	461
380	283	460
381	284	459
382	284	458
383	285	457
384	285	456
385	286	455
386	286	454
387	287	453
388	287	451
389	288	450
390	288	449
391	289	448
392	290	448
393	290	447
394	291	446
395	291	445
396	292	444
397	292	443
398	293	442
399	294	441
400	294	440
401	295	439
402	296	438
403	296	437
404	297	436
405	297	435
406	298	434
407	298	433
408	299	432
409	300	431
410	300	430
411	301	429
412	301	428
413	302	428
414	303	427
415	303	426
416	304	425
417	304	424
418	305	423
419	306	422
420	306	422
421	307	421
422	308	420
423	308	419
424	309	418
425	310	417
426	310	417
427	311	416
428	311	415
429	312	414
430	313	413
431	313	412
432	314	411
433	315	410
434	315	409
435	316	409
436	316	408
437	317	407
438	317	406
439	318	405
440	319	404
441	319	403
442	320	402
443	320	401
444	321	400
445	321	399
446	322	399
447	323	398
448	323	397
449	324	396
450	324	395
451	325	394
452	325	393
453	326	392
454	327	391
455	327	391
456	328	390
457	328	389
458	329	388
459	330	387
460	330	386
461	331	385
462	331	384
463	332	384
464	333	383
465	333	382
466	334	381
467	335	380
468	335	380
469	336	379
470	336	378
471	337	377
472	338	376
473	338	375
474	339	374
475	339	374
476	340	373
477	340	372
478	341	371
479	342	370
480	342	369
481	343	368
482	343	368
483	344	367
484	344	366
485	345	365
486	346	364
487	346	363
488	347	363
489	347	362
490	348	361
491	349	360
492	349	359
493	350	358
494	350	357
495	351	356
496	351	355
497	352	354
498	352	354
499	353	353
500	353	352
501	354	351
502	354	350
503	355	349
504	355	348
505	356	347
506	356	346
507	357	345
508	357	344
509	358	344
510	358	343
511	359	342
512	359	341
513	360	340
514	361	340
515	361	339
516	362	338
517	362	337
518	363	336
519	364	336
520	364	335
521	365	334
522	365	333
523	366	332
524	367	332
525	367	331
526	368	330
527	368	329
528	369	328
529	369	327
530	370	327
531	370	326
532	371	325
533	372	324
534	372	324
535	373	323
536	374	322
537	374	321
538	375	320
539	375	320
540	376	319
541	377	318
542	377	317
543	378	317
544	378	316
545	379	315
546	380	314
547	380	314
548	381	313
549	381	312
550	382	311
551	383	310
552	383	310
553	384	309
554	384	308
555	385	307
556	386	307
557	386	306
558	387	305
559	387	304
560	388	303
561	388	303
562	389	302
563	390	301
564	390	300
565	391	300
566	391	299
567	392	298
568	393	297
569	393	297
570	394	296
571	395	295
572	395	294
573	396	294
574	397	293
575	397	292
576	398	292
577	399	291
578	399	290
579	400	289
580	400	289
581	401	288
582	402	287
583	402	286
584	403	286
585	403	285
586	404	284
587	404	283
588	405	282
589	406	282
590	406	281
591	407	280
592	407	279
593	408	278
594	408	278
595	409	277
596	409	276
597	410	275
598	410	275
599	411	274
600	412	273
601	412	272
602	413	271
603	413	271
604	414	270
605	414	269
606	415	268
607	415	268
608	416	267
609	416	266
610	417	265
611	417	264
612	418	264
613	418	263
614	419	262
615	419	261
616	420	261
617	420	260
618	421	259
619	422	258
620	422	257
621	423	257
622	423	256
623	424	255
624	424	254
625	425	253
626	425	253
627	426	252
628	426	251
629	427	250
630	427	250
631	428	249
632	428	248
633	429	247
634	429	246
635	430	246
636	430	245
637	431	244
638	431	243
639	432	243
640	432	242
641	432	241
642	433	240
643	434	240
644	434	239
645	435	238
646	435	237
647	436	237
648	437	236
649	437	235
650	438	234
651	438	234
652	439	233
653	439	232
654	440	231
655	440	231
656	441	230
657	441	229
658	442	228
659	442	228
660	443	227
661	443	226
662	444	225
663	444	225
664	445	224
665	445	223
666	446	222
667	446	222
668	447	221
669	447	220
670	448	219
671	448	219
672	449	218
673	449	217
674	450	216
675	450	216
676	451	215
677	451	214
678	452	213
679	452	213
680	453	212
681	453	211
682	454	210
683	454	210
684	455	209
685	455	208
686	456	207
687	456	207
688	457	206
689	457	205
690	458	205
691	459	204
692	459	203
693	460	202
694	460	202
695	461	201
696	461	200
697	462	199
698	462	199
699	463	198
700	463	197
701	464	197
702	464	196
703	465	195
704	465	194
705	466	194
706	466	193
707	467	192
708	468	192
709	468	191
710	469	190
711	469	189
712	470	189
713	470	188
714	471	187
715	471	187
716	472	186
717	472	185
718	473	184
719	473	184
720	474	183
721	474	182
722	475	182
723	475	181
724	476	180
725	476	179
726	477	179
727	478	178
728	478	177
729	479	177
730	479	176
731	480	175
732	480	175
733	481	174
734	481	173
735	482	173
736	483	172
737	484	171
738	484	171
739	485	170
740	485	169
741	486	169
742	486	168
743	487	167
744	487	167
745	488	166
746	489	165
747	489	164
748	490	164
749	490	163
750	491	162
751	492	162
752	492	161
753	493	160
754	493	160
755	494	159
756	494	158
757	495	158
758	495	157
759	496	156
760	496	156
761	497	155
762	497	154
763	498	153
764	498	153
765	499	152
766	499	151
767	500	151
768	500	150
769	501	149
770	501	149
771	502	148
772	503	147
773	503	147
774	504	146
775	504	145
776	505	145
777	505	144
778	506	143
779	506	142
780	507	142
781	508	141
782	508	141
783	509	140
784	510	139
785	510	139
786	511	138
787	511	137
788	512	137
789	513	136
790	513	135
791	514	135
792	514	134
793	515	133
794	516	133
795	516	132
796	517	131
797	517	131
798	518	130
799	519	129
800	519	129
801	520	128
802	520	127
803	521	127
804	522	126
805	522	125
806	523	125
807	523	124
808	524	123
809	525	123
810	525	122
811	526	121
812	526	121
813	527	120
814	528	119
815	528	119
816	529	118
817	530	117
818	530	117
819	531	116
820	531	115
821	532	115
822	533	114
823	533	114
824	534	113
825	534	112
826	535	112
827	536	111
828	536	110
829	537	110
830	537	109
831	538	108
832	539	108
833	539	107
834	540	106
835	540	106
836	541	105
837	542	104
838	542	104
839	543	103
840	543	102
841	544	102
842	544	101
843	545	100
844	545	100
845	546	99
846	547	98
847	547	98
848	548	97
849	548	96
850	549	96
851	549	95
852	550	94
853	550	94
854	551	93
855	551	92
856	552	92
857	552	91
858	553	90
859	554	90
860	554	89
861	555	88
862	555	88
863	556	87
864	556	86
865	557	86
866	557	85
867	558	84
868	558	84
869	559	83
870	560	82
871	560	82
872	561	81
873	561	81
874	562	80
875	562	79
876	563	79
877	564	78
878	564	77
879	565	77
880	565	76
881	566	75
882	566	75
883	567	74
884	568	73
885	569	73
886	569	72
887	570	71
888	570	71
889	571	70
890	572	70
891	572	69
892	573	68
893	575	68
894	575	67
895	576	66
896	576	66
897	577	65
898	577	64
899	578	64
900	579	63
901	579	62
902	580	62
903	580	61
904	581	61
905	582	60
906	582	59
907	583	59
908	583	58
909	584	57
910	585	57
911	585	56
912	586	55
913	586	55
914	587	54
915	587	53
916	588	53
917	588	52
918	589	51
919	589	51
920	590	50
921	591	50
922	591	49
923	592	48
924	592	48
925	593	47
926	594	46
927	594	46
928	595	45
929	595	44
930	596	44
931	596	43
932	597	42
933	597	42
934	598	41
935	598	40
936	599	40
937	599	39
938	600	39
939	600	38
940	601	37
941	601	37
942	602	36
943	602	35
944	603	35
945	604	34
946	604	33
947	605	33
948	605	32
949	606	31
950	606	31
951	607	30
952	607	29
953	608	29
954	608	28
955	609	28
956	610	27
957	610	26
958	611	26
959	611	25
960	612	24
961	612	24
962	613	23
963	613	22
964	614	22
965	614	21
966	615	20
967	615	20
968	616	19
969	617	19
970	617	18
971	618	17
972	618	17
973	619	16
974	620	15
975	620	15
976	621	14
977	621	13
978	622	13
979	623	12
980	623	12
981	624	11
982	624	10
983	625	10
984	625	9
985	626	8
986	627	8
987	627	7
988	628	6
989	628	6
990	629	5
991	629	5
992	630	4
993	630	3
994	631	3
995	631	2
996	632	1
997	632	1
998	633	0
999	633	0
